"","","","","","Tugging a rope ","Traditional elegance","black","mini dress","black sequined","Micro shorts","Blue and shiny","stiletto heels","beaded anklet","Dramatic and captivating","Soft coral lipstick, dewy blush, subtle mascara","Dimly lit dressing room with velvet curtains","Dawn tranquil grace, soft dawn light","Full-body low-angle shot tilted up, focusing on seated pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Close-Up"
"","","","","","Meditating cross-legged ","Glamorous performance","deep violet","mini dress","Black","Trousers with white stripes","black","sandals","crystal pendant","Playful and content","Dewy finish, soft pink lip tint, light mascara","Quiet park in Taiwan with blooming sakura trees, scattered petals on the ground, and morning sunlight filtering through branches","Afternoon lively energy, warm golden light","Full-body portrait shot, low-angle framing tilted slightly upward, focusing on meditative pose against the mountains","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Cinematic Framing"
"","","","","","Stirring a pot ","Nautical flair","Rose quartz","micro-bikini","revealing","mini skirt","green","Gladiator sandal","jade pendant","Expression/Emotion","Natural glow, peach lip tint, subtle eyeliner","Trendy shoe boutique with mirrored walls, colorful displays, and midday light","Midday trendy spark with bright, even light casting a natural glow","Wide frontal tracking shot, looking directly to the viewer","Tags/Keywords","Landscape","Over-the-Shoulder"
"","","","","","Tracing crystals ","Glamorous futuristic","White silk","silk robe","red sequined","Knife pleated skirt","nude","kitten heels","woven straw hat","Dreamy and playful","Natural glow, coral lip gloss, subtle eyeliner","Marble fountain plaza with blooming flowers","Afternoon bold flair with warm, diffused light casting a soft glow","High-angle shot, capturing confident posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Low-Angle Shot"
"","","","","","Meditating cross-legged ","Rustic artisan","Ripped","oversized shirt","revealing","Bicycle shorts","tan","Moccasin","woven bracelet","Relaxed and serene","Soft shimmer, coral lip gloss, light contour","Dimly lit dressing room with velvet curtains","Twilight festive allure, neon glow","High-angle frontal spiral shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Medium Shot"
"","","","","","Stretching in a forward bend ","Rustic artisan","white with lace trim","oversized tee","damson","high-waisted shorts","Stone blue","bow sandals","floral hairband","Curious and engaged","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Sunlit penthouse with glass walls, potted palms","Evening futuristic charm, iridescent glow","Mid-level shot, capturing relaxed posture","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Low-Angle Shot"
"","","","","","Leaning slightly forward, checking phone ","Stylish casual","Carbon grey","crop top","pale green","high-waisted denim skirt","green","Moccasin","beaded anklet","Playful and curious","Shimmering finish, plum lip color, soft contour","Trendy hat boutique with colorful displays, mirrored walls, and midday light through large windows","Nighttime futuristic thrill, neon glow","High-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"","","","","","Twirling gracefully ","Tropical casual","black sequined","crop top","Ash grey","sarong","barefoot","Kitten heels","turquoise scarf","Tranquil and graceful","Natural look, nude lip gloss, light mascara","Bright art studio in Hong Kong with wooden floors, scattered art supplies","Evening enchanted glow, magical ambiance","Reflective frontal angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
"","","","","","Posing with one hand adjusting sunglasses","Glamorous chic","pale green","oversized shirt","denim","bicycle shorts","Ash grey","Hiking boots","gold hoop earrings","Focused yet calm","Dewy glow, peach lip tint, light mascara","Sunlit rooftop with glass railings, city skyline","Noon bold harmony, crisp warm glow","High-angle frontal spiral shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Low-Angle Shot"
"","","","","","Inspecting trinkets ","Glamorous chic","unbuttoned","halter dress with a slit up the thigh","black sequined","Bottom Clothing","Dirty and old","ankle boots","gold chain necklace","Confident and poised","Natural glow, coral lip gloss, subtle eyeliner","Cozy bookstore with tall wooden shelves, leather armchairs, large window, vintage globe, patterned rug in muted blue and beige","Morning cozy energy, bright natural light","Waist-up mirror shot, capturing confident posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Low-Angle Shot"
"","","","","","Leaning against a pole ","Glamorous performance","turquoise","flowy dress","Canary yellow","Micro shorts","yellow","ankle strap pumps","gold bangle","Dreamy and whimsical","Natural glow, soft peach lipstick, light eyeliner","Rooftop with city skyline, glass railings, potted plants, golden hour sunlight","Dusk playful serenity, shimmering glow","Frontal studio shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"","","","","","Licking ice cream ","Glamorous performance","yellow with floral","One-piece","revealing","skinny jeans","black","Kitten heels","rose gold ring","Intrigued and alert","Natural glow, soft pink lipstick, subtle winged eyeliner","Neon-lit cyberpunk rooftop with holographic billboards, city skyline below","Morning serene charm, gentle morning light","Full-body tracking shot, capturing carefree stride","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Wide Shot"
"","","","","","Checking phone ","Nautical flair","admiral","tee","Black","crop top","Sheer chiffon","espadrilles","silver stud earrings","Warm and teasing","Dewy finish, soft coral lip tint, light blush","Chic boutique with mirrored walls, colorful clothing racks, and afternoon light through frosted windows","Nighttime futuristic allure, neon glow","Eye-level shot, capturing creative focus","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"","","","","","Striding with coffee ","Cosmic bohemian","sheer peach","micro-bikini","Sheer see-through","Skin tight","green","ankle boots","amber pendant","Absorbed and serene","Dewy finish, nude lipstick, soft mascara","Seaside pier with weathered wooden planks, string lights hanging above, and a calm ocean","Nighttime cozy tease, warm pendant lights","Eye-level frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Medium Shot"
"","","","","","Browsing books ","Rustic artisan","Yellow and wet","camisole","navy","skin tight","white","ankle boots","beaded necklace","Curious and engaged","Makeup","Cozy café in Taiwan with warm wooden decor, soft pendant lights, and evening shadows","Afternoon quiet focus with soft, diffused light casting a gentle glow","Full-body frontal tracking shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Close-Up"
"","","","","","Trying on a hat ","Rustic artisan","sheer","One-piece","cream lace","Skin tight","brown","ballet flats","crystal pendant","Teasing and confident","Natural sheen, nude lip tint, soft brow pencil","Candlelit bedroom with rumpled sheets, soft shadows","Midday vibrant energy, rainbow prisms","Soft-focus frontal shot, engaging the viewer","Tags/Keywords","Landscape","Wide Shot"
"","","","","","Sketching on a blanket ","Stylish casual","admiral","wrap dress","white with lace trim","high-waisted jeans","Footwear Description","moccasin","silver choker","Playful and serene","Natural glow, soft pink lipstick, subtle blush","Disneyland in Miami","Nighttime sultry rhythm, neon glow","Dynamic zoom frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Close-Up"
"","","","","","Posing with coffee ","Sensual urban","Yellow and wet","Top Clothing","plaid","Tube dress","white","stiletto heels","rose gold ring","Playful and serene","Natural glow, nude lipstick, soft eyeliner","Steamy bathroom with fogged mirror, rose petals","Evening artistic allure, warm chandelier glow","Canted angle shot, highlighting bold stance","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Flipping through clothes ","Everyday casual","white","sailor dress","matching","pleated mini skirt","silver","Gladiator sandal","beaded necklace","Curious and assertive","Vibrant glow, ruby red lipstick, bold eyeliner","Singapore library with teak shelves, stained-glass windows, and soft afternoon light","Dawn tranquil charm, soft pastel light","Mid-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Low-Angle Shot"
"","","","","","Sipping water ","Ethereal activewear","floral","crop top","admiral","A-line skirt","brown","Footwear","leather wristband","Calm and charming","Natural glow, nude lip balm, subtle highlighter","Quiet park in Norway with green grass, blooming flowers, and morning sunlight filtering through trees","Midday playful charm with bright, even light casting a natural glow","Close-up tracking shot, capturing engaged expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Close-Up"
"","","","","","Adjusting sunglasses ","Sensual minimalist","oversized","Camisole","teal","micro shorts","Red and shiny","silver anklet","leather wristband","Playful and serene","Makeup","Dimly lit hallway with half-open door, soft shadows","Morning urban stroll with bright morning light casting a natural glow","Low-angle close shot, highlighting curious stance","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
"","","","","","Reading a menu ","Eclectic chef","sheer","mini dress","white with lace trim","tank top","Carbon grey","Gladiator sandal","woven straw hat","Focused and energetic","Dewy finish, nude lip tint, subtle blush","Vibrant nightclub in Seoul with neon lights, a crowded dance floor, and pulsing music","Midday tropical calm, bright sunlight","Frontal soft-focus shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Wide Shot"
"","","","","","Reclining on the floor, toes pointing towards the viewer","Traditional elegance","multicolored floral","halter dress with a slit up the thigh","Rose quartz","sarong","Pink","silver anklet","jade pendant","Playful and excited","Dewy finish, soft coral lip tint, light blush","Girls-only poolside in Ibiza with mid-summer and festive decorations, featuring colorful umbrellas, string lights, and a shimmering pool","Nighttime sultry rhythm, pulsing neon lights","Waist-up frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Medium Shot"
"","","","","","Reclining on a bench","Stylish casual","red sequined","flowy dress","Peach colour","Accordion mini skirt","Blue leather","espadrilles","pearl earrings","Calm and inspired","Natural look, nude lip gloss, light mascara","Busy street with colourful petit shops in Harajuku","Afternoon urban energy, warm sunlight","Soft-focus shot, emphasizing poised posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"","","","","","Reclining on a blanket","Traditional elegance","emerald green","bathrobe","black sequined","trousers","barefoot","Bow sandals","gold chain necklace","Radiant and playful","Natural glow, nude lipstick, soft eyeliner","Candlelit bedroom with rumpled sheets, soft shadows","Morning fresh energy, soft morning light","Full-body frontal soft-focus shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
"","","","","","Lounging on a chaise","Bohemian summery","Canary yellow","silk robe","damson","mini skirt","chinoise green","T-strap heels","crystal pendant","Gentle and creative","Natural glow, peach lip gloss, subtle blush","Indoor space with a wooden ceiling, surrounded by lush hanging vines and exotic orchids, illuminated by natural sunlight streaming through an unseen skylight, creating a vibrant, tropical oasis","Nighttime futuristic charm, neon glow","Full-body low-angle shot tilted up, focusing on seated pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Over-the-Shoulder"
"","","","","","Sitting on a rustic yet modern couch with her knees pointing outward taking a selfie","Chic casual","emerald green","sweater","pale green","pleated mini skirt","Saratoga green","Jelly flats","leather wristband","Confident and vibrant","Natural glow, nude lipstick, soft eyeliner","Bustling city plaza with marble fountain, street musicians, cobblestone paths, and golden afternoon sunlight","Morning serene beauty with gentle morning light casting a soft glow","Full-body low-angle shot tilted up, focusing on seated pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Reclining on a big bean bag, teasing the viewer","Glamorous futuristic","apricot","micro-bikini","deep violet","thongs","Blue leather","Bow sandals","pink scrunchie","Confident and vibrant","Bold coral lipstick, smoky eyeshadow, glowing highlighter","Sunlit coastal road with a vintage convertible, ocean waves in the background","Midday carefree moment with bright midday light casting a natural glow","Full-body portrait shot, over-the-shoulder framing from behind a boulder, highlighting stretch against mountains","Tags/Keywords","Orientation","Medium Shot"
"","","","","","Walking directly towards the viewers","Playful futuristic","mustard yellow","fitted tee","Black","Bottom Clothing","Barefoot","beaded anklet","gold hoop earrings","Radiant and playful","Dewy glow, peach lip tint, light mascara","Dimly lit hallway with half-open door, soft shadows","Evening glamour, prismatic light reflections","Starlit close shot, capturing whimsical expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"","","","","","Reclining on a beach towel","Traditional elegance","black sequined","silk robe","Rose quartz","Bottom Clothing","black","espadrilles","floral scarf","Radiant and carefree","Natural look, soft coral lip tint, light mascara","On top of the world’s tallest building with glass transparent floor","Midday coastal charm, bright sunlight","Dynamic frontal angle shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Over-the-Shoulder"
"","","","","","Sitting on a bar stool sipping a pink cocktail","Trendy boho","floral","tee","pale green","bicycle shorts","Carbon grey","ballet flats","rose quartz pendant","Calm and introspective","Soft coral lipstick, dewy blush, subtle gloss","Busy street market in Hong Kong with colorful stalls, hanging lanterns, and bustling crowds","Evening serene charm, warm sunset glow","Waist-up frontal shot, focusing on standing pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Wide Shot"
"","","","","","Bends her upper body towards the viewer","Rugged explorer","Stone blue","kimono-style top","denim","thongs","green","Wellington boots","gold bangle","Absorbed and serene","Shimmering finish, plum lip color, soft contour","Wildflower meadow with rolling hills, scattered daisies, and midday sunlight","Afternoon bold flair with warm, diffused light casting a soft glow","Side-tracking shot, capturing casual posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Over-the-Shoulder"
"","","","","","Having a board meeting","Trendy boho","Sheer see-through","halter dress with a slit up the thigh","mustard yellow","trousers","Carbon grey","kitten heels","Rolex watch","Serene and introspective","Shimmering finish, plum lip color, soft contour","Trendy shoe boutique with mirrored walls, colorful displays, and midday light","Twilight mystical adventure, bioluminescent glow","Down-to-knees tracking shot, capturing assertive stance","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
"","","","","","Eating sushi","Playful futuristic","Chinoise green","sundress","Carbon grey","high-waisted shorts","Ash grey","beaded anklet","floral hairband","Relaxed yet sultry","Dewy finish, nude lip gloss, subtle blush","Modern bedroom with a large window showcasing a cityscape infused with surreal orange and pink clouds, featuring a bed with a rocking chair, surrounded by an ethereal atmosphere","Evening enchanted glow, warm lighting","Waist-up frontal shot, focusing on standing pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Medium Shot"
"","","","","","Getting ready for a date","Zen elegance","shiny gold","dress","Carbon grey","Micro shorts","black","Slingback heels","pearl earrings","Serene and introspective","Soft turquoise eyeshadow, dewy blush, subtle gloss","Urban penthouse with floor-to-ceiling windows, colorful abstract art, iridescent evening lights","Evening coastal charm, fairy light glow","Close-up frontal shot, looking directly to the viewer","Tags/Keywords","Portrait","Close-Up"
"","","","","","Crouching low and back arched","Professional chic","shiny gold","fitted tee","Stone blue","thongs","barefoot","crystal pendant","pink scrunchie","Warm and teasing","Soft rose lipstick, dewy blush, subtle eyeshadow","Sunny park in Oslo with green lawns, wooden benches, and blooming tulips","Evening enchanted glow, warm lighting","Low-angle portrait shot, emphasizing meditative focus","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Over-the-Shoulder"
"","","","","","Posing for a Beauty product photoshoot","Eclectic chef","Ripped","Top Clothing","Carbon grey","A-line micro skirt","Barefoot","crocs","amber pendant","Calm and inspired","Subtle shimmer, lavender lip gloss, soft eyeshadow","Miami beach runway with a white sand catwalk, bordered by shimmering turquoise waves and pink seashells, surrounded by a serene sunrise with the sky painted in soft peach and gold hues","Sunrise graceful balance, peach and lavender light","Full-body frontal tracking shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Wide Shot"
"","","","","","Performing on a stage","Eclectic chef","Stone blue","robe","Rose quartz","Bottom Clothing","white","platform pumps","Accessories","Focused and inspired","Natural glow, bold red lipstick, subtle eyeliner","A detailed rooftop terrace with white railings, potted succulents, wooden table, golden hour sunlight, city skyline view","Nighttime futuristic allure, neon glow","Orbital tracking shot, capturing dynamic pose","Tags/Keywords","Landscape","Wide Shot"
"","","","","","Sitting cross-legged with (2 legs) neatly aligned, hands resting on knees","Playful summery","Pearl colour","towel","mustard yellow","shorts","Ash grey","slippers","gold chain necklace","Joyful and energetic","Natural glow, nude lipstick, soft eyeliner","Cozy flower shop with wooden shelves, colorful bouquets, glass vases, and morning light through frosted windows","Morning cozy energy, bright natural light","Soft-focus frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Standing with (2 legs) slightly apart, stirring a pot,","Professional chic","cream","crop top","navy","skinny jeans","silver","heels","nautical charm bracelet","Curious and adventurous","Soft shimmer, coral lip gloss, light contour","Sunlit plaza with cobblestone paths, blooming vines","Nighttime sultry rhythm, neon glow","High-angle frontal spiral shot, looking directly to the viewer","Tags/Keywords","Orientation","Close-Up"
"","","","","","","Retro chic","Pearl colour","Top Clothing","Carbon grey","high-waisted denim shorts","nude","Jelly flats","silver choker","Calm and charming","Natural look, clear lip gloss, light mascara","Grand stage with hardwood flooring, red velvet curtains, spotlight rig with multicolored beams, microphone stand, backdrop of glittering city lights through an open arch","Afternoon curious charm, warm sunlight","Waist-up frontal close shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Close-Up"
"","","","","","Sitting on a ledge, toes pointing towards the viewer, adjusting a damp crop top","Cosmic bohemian","Sage","oversized tee","matching","A-line micro skirt","admiral","hiking boots","woven wristband","Playful and excited","Natural glow, bold red lipstick, subtle eyeliner","Tropical terrace with palm trees, turquoise lagoon","Golden hour tropical calm, warm sunlight","Waist-up frontal soft shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Wide Shot"
"","","","","","Leaning against a fountain, sheer blouse clinging to skin","Ethereal activewear","bright orange","off-shoulder top","dark green","A-line micro skirt","Saratoga green","Mary jane heels","gold chain necklace","Focused and inspired","Dewy finish, bold peach lipstick, soft eyeliner","Dimly lit dressing room with fogged mirror","Afternoon lively energy, warm golden light","Reflective frontal angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Medium Shot"
"","","","","","Posing with one hand on hip, loose shirt slipping off shoulder","Professional chic","Chinoise green","sailor dress","Ash grey","Panties","white","slingback heels","crystal pendant","Bold and harmonious","Dewy finish, soft coral lip tint, light blush","Candlelit bedroom with velvet curtains, soft shadows","Nighttime futuristic allure, neon glow","Wide-angle frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Over-the-Shoulder"
"","","","","","Leaning against a wall, damp sundress clinging to skin","Tropical casual","Sheer peach","silk robe","Stone blue","Accordion mini skirt","Barefoot","Kitten heels","silver anklet","Focused and energetic","Natural glow, soft peach lipstick, light eyeliner","Sunlit terrace with string lights, city skyline","Morning fresh energy, soft morning light","Starlit close shot, capturing whimsical expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Cinematic Framing"
"","","","","","Sitting on a bench, toes pointing towards the viewer, adjusting a loose crop top","Simple casual","deep violet","blouse","black sequined","leggings","barefoot","silver choker","gold hoop earrings","Focused yet calm","Natural, day to day","striking, futuristic bedroom with large windows offering a panoramic view of a bustling neon-lit cityscape at night. The room features sleek metallic surfaces with rich reddish hues reflecting ambient light. Subtle blue and purple tones illuminate the space, emanating from outside, creating a moody yet inviting atmosphere. The bed is adorned with luxurious fabrics, featuring intricate patterns, and is complemented by plush cushions, suggesting comfort and elegance. The composition showcases the juxtaposition of modern architecture against a vibrant city backdrop, filled with towering skyscrapers and bright advertisements. the overall ambiance evokes feelings of serenity amidst urban vibrancy.","Morning urban vibrancy, bright sunlight","Full-body frontal shot, focusing on seated pose and lace details","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Medium Shot"
"","","","","","Leaning in a doorway, unbuttoned blouse revealing bare shoulders","Zen elegance","red sequined","bikini top","blue","pleated mini skirt","Barefoot","jelly flats","rose gold ring","Expressive and warm","Bold coral lipstick, smoky eyeshadow, glowing highlighter","Quiet street in Norway with cobblestone paths, quaint shops, and soft afternoon light","Evening ethereal glow, surreal lighting","Low-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Over-the-Shoulder"
"","","","","","Tugging a damp shirt clinging to skin","Casual sporty","admiral","oversized shirt","Rose quartz","skin tight","Carbon grey","Hiking boots","turquoise scarf","Curious and adventurous","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Cozy library with wooden shelves, soft overhead lights, and scattered reading tables","Evening serene charm, warm sunset glow","Mid-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Medium Shot"
"","","","","","Unbuttoning a shirt, revealing bare shoulders","Casual summery","white with lace trim","blouse","deep violet","high-waisted denim skirt","Sheer chiffon","Wellington boots","floral scarf","Playful and serene","Natural glow, peach lip gloss, subtle blush","Oceanfront cabana with white drapes fluttering in the breeze, fairy lights woven into the canopy","Morning urban stroll with bright morning light casting a natural glow","High-angle frontal spiral shot, looking directly to the viewer","Tags/Keywords","Orientation","Close-Up"
"","","","","","Standing in a fountain, damp sundress clinging to skin","Effortless casual","White silk","overalls'","Rose quartz","leggings","Sheer chiffon","stiletto heels","gold chain necklace","Radiant and carefree","Natural, day to day","City loft with floor-to-ceiling windows, neon-lit skyline, iridescent evening lights","Noon bold harmony, crisp warm glow","Overhead frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Sitting on a stool, toes pointing towards the viewer, adjusting a damp blouse","Trendy casual","Sheer see-through","tee","white","high-waisted shorts","Chinoise green","ankle boots","gold bangle","Radiant and playful","Natural glow, soft pink lipstick, subtle blush","Busy street with colourful petit shops in Harajuku","Midnight sensual allure, dark soft light","Wide frontal tracking shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
